code,target,sigprice,gentime,usertag
DCE.y.HOT,4,9182,20210907113000000,
DCE.m.HOT,5,3515,20210907133500000,
DCE.y.HOT,5,9202,20210907133500000,
DCE.c.HOT,4,2462,20210907135500000,
DCE.y.HOT,4,9186,20210907135500000,
DCE.c.HOT,5,2461,20210907140000000,
DCE.y.HOT,5,9190,20210907140000000,
DCE.cs.HOT,-4,2872,20210907141500000,
DCE.y.HOT,4,9196,20210907141500000,
DCE.cs.HOT,-5,2872,20210907142000000,
DCE.y.HOT,5,9206,20210907142000000,
DCE.y.HOT,4,9222,20210907142500000,
DCE.y.HOT,5,9226,20210907143000000,
DCE.cs.HOT,-4,2869,20210907143500000,
DCE.c.HOT,4,2461,20210907144000000,
DCE.cs.HOT,-5,2873,20210907144000000,
DCE.c.HOT,5,2462,20210907144500000,
DCE.m.HOT,4,3522,20210907145500000,
DCE.c.HOT,4,2462,20210907150000000,
DCE.cs.HOT,-4,2869,20210907150000000,
DCE.y.HOT,4,9206,20210907150000000,
DCE.c.HOT,5,2453,20210907210500000,
DCE.cs.HOT,-5,2852,20210907210500000,
DCE.m.HOT,5,3517,20210907210500000,
DCE.y.HOT,5,9196,20210907210500000,
DCE.y.HOT,4,9226,20210907211500000,
DCE.y.HOT,5,9196,20210907212000000,
DCE.c.HOT,4,2457,20210907212500000,
DCE.y.HOT,4,9204,20210907212500000,
DCE.c.HOT,5,2465,20210907213000000,
DCE.y.HOT,5,9202,20210907213000000,
DCE.c.HOT,4,2470,20210907214500000,
DCE.c.HOT,5,2474,20210907215000000,
DCE.y.HOT,4,9178,20210907215500000,
DCE.c.HOT,4,2484,20210907220500000,
DCE.c.HOT,5,2485,20210907221000000,
DCE.y.HOT,5,9168,20210907221000000,
DCE.cs.HOT,-4,2853,20210907222000000,
DCE.m.HOT,4,3508,20210907222000000,
DCE.cs.HOT,-5,2851,20210907223000000,
DCE.m.HOT,5,3510,20210907223000000,
DCE.c.HOT,4,2475,20210907223500000,
DCE.c.HOT,5,2476,20210907224000000,
DCE.c.HOT,3,2477,20210907224500000,
DCE.m.HOT,4,3504,20210907224500000,
DCE.c.HOT,5,2479,20210907225000000,
DCE.m.HOT,5,3498,20210907225000000,
DCE.c.HOT,4,2476,20210908090500000,
DCE.y.HOT,4,9106,20210908090500000,
DCE.c.HOT,5,2477,20210908091000000,
DCE.y.HOT,5,9110,20210908091000000,
DCE.cs.HOT,-4,2838,20210908092000000,
DCE.cs.HOT,-5,2840,20210908092500000,
DCE.m.HOT,4,3510,20210908093500000,
DCE.m.HOT,5,3513,20210908094000000,
DCE.y.HOT,4,9170,20210908094500000,
