code,time,direct,action,price,qty,tag,fee,barno
DCE.y.HOT,202109062130,LONG,CLOSE,9138,1,,2.51,281
DCE.y.HOT,202109062130,LONG,CLOSE,9138,1,,2.51,281
DCE.c.HOT,202109062130,LONG,OPEN,2464,1,,1.21,281
DCE.y.HOT,202109062135,LONG,OPEN,9144,2,,5.02,282
DCE.cs.HOT,202109062135,SHORT,CLOSE,2880,1,,1.51,282
DCE.cs.HOT,202109062140,SHORT,OPEN,2881,1,,1.51,283
DCE.cs.HOT,202109062210,SHORT,CLOSE,2888,1,,1.51,289
DCE.c.HOT,202109062215,LONG,CLOSE,2463,1,,1.21,290
DCE.cs.HOT,202109062215,SHORT,OPEN,2888,1,,1.51,290
DCE.c.HOT,202109062220,LONG,OPEN,2462,1,,1.21,291
DCE.y.HOT,202109062225,LONG,CLOSE,9174,1,,2.51,292
DCE.y.HOT,202109062230,LONG,OPEN,9182,1,,2.51,293
DCE.y.HOT,202109062235,LONG,CLOSE,9174,1,,2.51,294
DCE.cs.HOT,202109062235,SHORT,CLOSE,2888,1,,1.51,294
DCE.m.HOT,202109062240,LONG,CLOSE,3498,1,,1.51,295
DCE.y.HOT,202109062240,LONG,OPEN,9172,1,,2.51,295
DCE.cs.HOT,202109062240,SHORT,OPEN,2889,1,,1.51,295
DCE.m.HOT,202109062245,LONG,OPEN,3499,1,,1.51,296
DCE.cs.HOT,202109062245,SHORT,CLOSE,2890,1,,1.51,296
DCE.y.HOT,202109062250,LONG,CLOSE,9142,1,,0,297
DCE.cs.HOT,202109062250,SHORT,OPEN,2890,1,,1.51,297
DCE.y.HOT,202109062255,LONG,OPEN,9150,1,,2.51,298
DCE.m.HOT,202109062300,LONG,CLOSE,3500,1,,1.51,299
DCE.m.HOT,202109070905,LONG,OPEN,3494,1,,1.51,300
DCE.cs.HOT,202109070905,SHORT,CLOSE,2885,1,,0,300
DCE.cs.HOT,202109070910,SHORT,OPEN,2882,1,,1.51,301
DCE.m.HOT,202109070915,LONG,CLOSE,3483,1,,1.51,302
DCE.m.HOT,202109070925,LONG,OPEN,3487,1,,1.51,304
DCE.c.HOT,202109070925,LONG,CLOSE,2461,1,,1.21,304
DCE.c.HOT,202109070935,LONG,OPEN,2464,1,,1.21,306
DCE.c.HOT,202109070950,LONG,CLOSE,2467,1,,1.21,309
DCE.c.HOT,202109070955,LONG,OPEN,2466,1,,1.21,310
DCE.m.HOT,202109071000,LONG,CLOSE,3513,1,,1.51,311
DCE.m.HOT,202109071010,LONG,OPEN,3513,1,,1.51,313
DCE.m.HOT,202109071015,LONG,CLOSE,3512,1,,1.51,314
DCE.m.HOT,202109071035,LONG,OPEN,3511,1,,1.51,315
DCE.cs.HOT,202109071040,SHORT,CLOSE,2874,1,,0,316
DCE.cs.HOT,202109071045,SHORT,OPEN,2874,1,,1.51,317
DCE.cs.HOT,202109071100,SHORT,CLOSE,2871,1,,0,320
DCE.cs.HOT,202109071105,SHORT,OPEN,2872,1,,1.51,321
DCE.cs.HOT,202109071115,SHORT,CLOSE,2873,1,,0,323
DCE.cs.HOT,202109071120,SHORT,OPEN,2873,1,,1.51,324
DCE.c.HOT,202109071125,LONG,CLOSE,2463,1,,0,325
DCE.c.HOT,202109071130,LONG,OPEN,2463,1,,1.21,326
DCE.cs.HOT,202109071130,SHORT,CLOSE,2875,1,,0,326
DCE.cs.HOT,202109071335,SHORT,OPEN,2876,1,,1.51,327
DCE.m.HOT,202109071340,LONG,CLOSE,3515,1,,0,328
DCE.m.HOT,202109071345,LONG,OPEN,3516,1,,1.51,329
DCE.y.HOT,202109071345,LONG,CLOSE,9170,1,,0,329
