code,target,sigprice,gentime,usertag
DCE.cs.HOT,2,2810,20210914093500000,
DCE.cs.HOT,-5,2810,20210914094000000,
DCE.c.HOT,-2,2460,20210914095000000,
DCE.c.HOT,5,2458,20210914095500000,
DCE.c.HOT,-5,2458,20210914101000000,
DCE.cs.HOT,3,2808,20210914103500000,
DCE.c.HOT,-4,2460,20210914104000000,
DCE.cs.HOT,5,2810,20210914104000000,
DCE.c.HOT,5,2459,20210914104500000,
DCE.y.HOT,5,8950,20210914104500000,
DCE.c.HOT,4,2457,20210914112000000,
DCE.c.HOT,5,2458,20210914112500000,
DCE.y.HOT,-5,8978,20210914150000000,
DCE.y.HOT,5,9002,20210914210500000,
DCE.c.HOT,-5,2462,20210914211000000,
DCE.c.HOT,5,2469,20210914211500000,
DCE.cs.HOT,4,2817,20210914211500000,
DCE.cs.HOT,5,2818,20210914212000000,
DCE.c.HOT,-5,2471,20210914220000000,
DCE.c.HOT,3,2469,20210914221000000,
DCE.c.HOT,5,2470,20210914221500000,
DCE.y.HOT,-2,8938,20210914225000000,
DCE.y.HOT,5,8938,20210914225500000,
DCE.y.HOT,-5,8908,20210914230000000,
DCE.y.HOT,5,8926,20210915090500000,
DCE.y.HOT,-5,8886,20210915091000000,
DCE.y.HOT,5,8914,20210915094500000,
DCE.m.HOT,-0,3527,20210915104500000,
DCE.m.HOT,-5,3529,20210915105000000,
DCE.c.HOT,4,2468,20210915105500000,
DCE.m.HOT,4,3529,20210915105500000,
DCE.c.HOT,5,2468,20210915110000000,
DCE.cs.HOT,4,2815,20210915110000000,
DCE.m.HOT,5,3532,20210915110000000,
DCE.cs.HOT,-3,2815,20210915110500000,
DCE.cs.HOT,3,2815,20210915111000000,
DCE.cs.HOT,-5,2814,20210915111500000,
DCE.cs.HOT,-3,2815,20210915113000000,
DCE.c.HOT,-5,2463,20210915133500000,
DCE.cs.HOT,5,2812,20210915133500000,
DCE.c.HOT,5,2461,20210915134500000,
DCE.c.HOT,4,2459,20210915135000000,
DCE.c.HOT,5,2458,20210915135500000,
DCE.m.HOT,-4,3534,20210915135500000,
DCE.m.HOT,-5,3534,20210915140000000,
DCE.m.HOT,-3,3535,20210915141500000,
DCE.m.HOT,1,3534,20210915142000000,
DCE.m.HOT,5,3538,20210915142500000,
DCE.c.HOT,-1,2460,20210915145000000,
DCE.c.HOT,0,2458,20210915145500000,
DCE.c.HOT,2,2459,20210915150000000,
DCE.c.HOT,-5,2462,20210915210500000,
DCE.c.HOT,2,2456,20210915211000000,
DCE.c.HOT,5,2456,20210915211500000,
DCE.c.HOT,-5,2455,20210915212000000,
DCE.c.HOT,-3,2450,20210915212500000,
DCE.c.HOT,-5,2455,20210915213000000,
DCE.m.HOT,-5,3531,20210915213000000,
DCE.m.HOT,1,3514,20210915214000000,
DCE.m.HOT,5,3516,20210915214500000,
DCE.c.HOT,5,2452,20210915215000000,
DCE.m.HOT,-2,3530,20210915230000000,
DCE.c.HOT,-5,2446,20210916090500000,
DCE.m.HOT,-5,3544,20210916090500000,
